Disease	TUCR Chromosome	TUCR Start	TUCR End	TUCR ID	Transcript Chromosome	Transcript Start	Transcript End	Transcript Length	Transcript End	Transcript Annotation	Gene ID	Transcript ID	Exon Number	
GBM	chr16	73058971	73059215	uc.409	chr16	72788661	73059764	271103	-	transcript	MSTRG.9360	 MSTRG.9360.5	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30225399	30713644	488245	+	transcript	MSTRG.12184	 MSTRG.12184.1	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30225520	30713644	488124	+	transcript	MSTRG.12184	 MSTRG.12184.2	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30225521	30558064	332543	+	transcript	MSTRG.12184	 MSTRG.12184.3	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30225531	30558064	332533	+	transcript	MSTRG.12184	 MSTRG.12184.4	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30227592	30713644	486052	+	transcript	MSTRG.12184	 MSTRG.12184.5	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30227893	30713644	485751	+	transcript	MSTRG.12184	 MSTRG.12184.6	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30227901	30713644	485743	+	transcript	MSTRG.12184	 MSTRG.12184.7	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30227944	30713644	485700	+	transcript	MSTRG.12184	 MSTRG.12184.8	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30227974	30713644	485670	+	transcript	MSTRG.12184	 MSTRG.12184.9	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30228191	30713644	485453	+	transcript	MSTRG.12184	 MSTRG.12184.10	 	
GBM	chr19	30256946	30257218	uc.446	chr19	30228386	30558064	329678	+	transcript	MSTRG.12184	 MSTRG.12184.11	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30225399	30713644	488245	+	transcript	MSTRG.12184	 MSTRG.12184.1	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30225520	30713644	488124	+	transcript	MSTRG.12184	 MSTRG.12184.2	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30225521	30558064	332543	+	transcript	MSTRG.12184	 MSTRG.12184.3	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30225531	30558064	332533	+	transcript	MSTRG.12184	 MSTRG.12184.4	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30227592	30713644	486052	+	transcript	MSTRG.12184	 MSTRG.12184.5	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30227893	30713644	485751	+	transcript	MSTRG.12184	 MSTRG.12184.6	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30227901	30713644	485743	+	transcript	MSTRG.12184	 MSTRG.12184.7	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30227944	30713644	485700	+	transcript	MSTRG.12184	 MSTRG.12184.8	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30227974	30713644	485670	+	transcript	MSTRG.12184	 MSTRG.12184.9	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30228191	30713644	485453	+	transcript	MSTRG.12184	 MSTRG.12184.10	 	
GBM	chr19	30276873	30277146	uc.447	chr19	30228386	30558064	329678	+	transcript	MSTRG.12184	 MSTRG.12184.11	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30225399	30713644	488245	+	transcript	MSTRG.12184	 MSTRG.12184.1	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30225520	30713644	488124	+	transcript	MSTRG.12184	 MSTRG.12184.2	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30225521	30558064	332543	+	transcript	MSTRG.12184	 MSTRG.12184.3	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30225531	30558064	332533	+	transcript	MSTRG.12184	 MSTRG.12184.4	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30227592	30713644	486052	+	transcript	MSTRG.12184	 MSTRG.12184.5	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30227893	30713644	485751	+	transcript	MSTRG.12184	 MSTRG.12184.6	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30227901	30713644	485743	+	transcript	MSTRG.12184	 MSTRG.12184.7	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30227944	30713644	485700	+	transcript	MSTRG.12184	 MSTRG.12184.8	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30227974	30713644	485670	+	transcript	MSTRG.12184	 MSTRG.12184.9	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30228191	30713644	485453	+	transcript	MSTRG.12184	 MSTRG.12184.10	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30228386	30558064	329678	+	transcript	MSTRG.12184	 MSTRG.12184.11	 	
GBM	chr19	30350622	30350854	uc.448	chr19	30336597	30713644	377047	+	transcript	MSTRG.12184	 MSTRG.12184.12	 	
GBM	chr2	60553546	60553780	uc.62	chr2	60553216	60554115	899	-	exon	MSTRG.13485	 MSTRG.13485.1	" exon_number ""5"""	 
GBM	chr2	60553546	60553780	uc.62	chr2	60553216	60553877	661	-	exon	MSTRG.13485	 MSTRG.13485.3	" exon_number ""5"""	 
GBM	chr2	60553546	60553780	uc.62	chr2	60553324	60553877	553	-	exon	MSTRG.13485	 MSTRG.13485.4	" exon_number ""6"""	 
GBM	chr2	60553546	60553780	uc.62	chr2	60451814	60554115	102301	-	transcript	MSTRG.13485	 MSTRG.13485.1	 	
GBM	chr2	60553546	60553780	uc.62	chr2	60452158	60553877	101719	-	transcript	MSTRG.13485	 MSTRG.13485.3	 	
GBM	chr2	60553546	60553780	uc.62	chr2	60452158	60553877	101719	-	transcript	MSTRG.13485	 MSTRG.13485.4	 	
GBM	chr2	60553546	60553780	uc.62	chr2	60452166	60554115	101949	-	transcript	MSTRG.13485	 MSTRG.13485.5	 	
GBM	chr2	170715019	170715270	uc.95	chr2	170714787	170718448	3661	+	transcript	MSTRG.14287	 MSTRG.14287.1	 	
GBM	chr2	170715019	170715270	uc.95	chr2	170714787	170715563	776	+	exon	MSTRG.14287	 MSTRG.14287.1	" exon_number ""1"""	 
GBM	chr2	170715019	170715270	uc.95	chr2	170714941	170718448	3507	+	transcript	MSTRG.14287	 MSTRG.14287.2	 	
GBM	chr2	170715019	170715270	uc.95	chr2	170714941	170718448	3507	+	exon	MSTRG.14287	 MSTRG.14287.2	" exon_number ""1"""	 
GBM	chr2	172091789	172092027	uc.98	chr2	172086387	172093495	7108	-	transcript	MSTRG.14306	 MSTRG.14306.1	 	
GBM	chr2	236162737	236162980	uc.110	chr2	236161295	236167388	6093	-	transcript	MSTRG.14795	 MSTRG.14795.1	 	
GBM	chr2	236162737	236162980	uc.110	chr2	236161295	236162749	1454	-	exon	MSTRG.14795	 MSTRG.14795.1	" exon_number ""1"""	 
GBM	chr2	236162737	236162980	uc.110	chr2	236161336	236167388	6052	-	transcript	MSTRG.14795	 MSTRG.14795.2	 	
GBM	chr2	236162737	236162980	uc.110	chr2	236161336	236164148	2812	-	exon	MSTRG.14795	 MSTRG.14795.2	" exon_number ""1"""	 
GBM	chr2	236162737	236162980	uc.110	chr2	236161338	236168069	6731	-	transcript	MSTRG.14795	 MSTRG.14795.3	 	
GBM	chr2	236162737	236162980	uc.110	chr2	236161338	236164148	2810	-	exon	MSTRG.14795	 MSTRG.14795.3	" exon_number ""1"""	 
GBM	chr2	236162737	236162980	uc.110	chr2	236161339	236167388	6049	-	transcript	MSTRG.14795	 MSTRG.14795.4	 	
GBM	chr2	236162737	236162980	uc.110	chr2	236162554	236162749	195	-	exon	MSTRG.14795	 MSTRG.14795.4	" exon_number ""2"""	 
GBM	chr2	236162737	236162980	uc.110	chr2	236161340	236168069	6729	-	transcript	MSTRG.14795	 MSTRG.14795.5	 	
GBM	chr2	236162737	236162980	uc.110	chr2	236162554	236162749	195	-	exon	MSTRG.14795	 MSTRG.14795.5	" exon_number ""2"""	 
GBM	chr2	236162737	236162980	uc.110	chr2	236161389	236167524	6135	-	transcript	MSTRG.14795	 MSTRG.14795.6	 	
GBM	chr2	236162737	236162980	uc.110	chr2	236161389	236162749	1360	-	exon	MSTRG.14795	 MSTRG.14795.6	" exon_number ""1"""	 
GBM	chr2	236162737	236162980	uc.110	chr2	235670033	236189033	519000	+	transcript	MSTRG.14793	 MSTRG.14793.6	 	
GBM	chr3	147312920	147313192	uc.127	chr3	146893057	147370632	477575	-	transcript	MSTRG.17611	 MSTRG.17611.2	 	
GBM	chr3	147312920	147313192	uc.127	chr3	147041952	147370741	328789	-	transcript	MSTRG.17611	 MSTRG.17611.3	 	
GBM	chr3	147312920	147313192	uc.127	chr3	147041952	147370741	328789	-	transcript	MSTRG.17611	 MSTRG.17611.4	 	
GBM	chr3	147331850	147332149	uc.128	chr3	146893057	147370632	477575	-	transcript	MSTRG.17611	 MSTRG.17611.2	 	
GBM	chr3	147331850	147332149	uc.128	chr3	147041952	147370741	328789	-	transcript	MSTRG.17611	 MSTRG.17611.3	 	
GBM	chr3	147331850	147332149	uc.128	chr3	147041952	147370741	328789	-	transcript	MSTRG.17611	 MSTRG.17611.4	 	
GBM	chr5	87944587	87944790	uc.164	chr5	87938702	88121131	182429	-	transcript	MSTRG.19657	 MSTRG.19657.1	 	
GBM	chr6	10394443	10394655	uc.187	chr6	10393126	10395691	2565	-	transcript	MSTRG.20467	 MSTRG.20467.1	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97626900	98398923	772023	+	transcript	MSTRG.21235	 MSTRG.21235.8	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97787486	98398923	611437	+	transcript	MSTRG.21235	 MSTRG.21235.10	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816507	98398923	582416	+	transcript	MSTRG.21235	 MSTRG.21235.11	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816535	98398923	582388	+	transcript	MSTRG.21235	 MSTRG.21235.12	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816576	98398923	582347	+	transcript	MSTRG.21235	 MSTRG.21235.13	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816576	98398923	582347	+	transcript	MSTRG.21235	 MSTRG.21235.14	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816587	98114616	298029	+	transcript	MSTRG.21235	 MSTRG.21235.15	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816673	98398923	582250	+	transcript	MSTRG.21235	 MSTRG.21235.16	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816673	98398923	582250	+	transcript	MSTRG.21235	 MSTRG.21235.17	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97816679	98398923	582244	+	transcript	MSTRG.21235	 MSTRG.21235.18	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97305579	98398923	1093344	+	transcript	MSTRG.21235	 MSTRG.21235.1	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97305582	98114616	809034	+	transcript	MSTRG.21235	 MSTRG.21235.2	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97305597	98398923	1093326	+	transcript	MSTRG.21235	 MSTRG.21235.3	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97305605	98398923	1093318	+	transcript	MSTRG.21235	 MSTRG.21235.4	 	
GBM	chr6	97914922	97915146	uc.197	chr6	97440832	98398923	958091	+	transcript	MSTRG.21235	 MSTRG.21235.6	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97626900	98398923	772023	+	transcript	MSTRG.21235	 MSTRG.21235.8	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97787486	98398923	611437	+	transcript	MSTRG.21235	 MSTRG.21235.10	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97816507	98398923	582416	+	transcript	MSTRG.21235	 MSTRG.21235.11	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97816535	98398923	582388	+	transcript	MSTRG.21235	 MSTRG.21235.12	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97816576	98398923	582347	+	transcript	MSTRG.21235	 MSTRG.21235.13	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97816576	98398923	582347	+	transcript	MSTRG.21235	 MSTRG.21235.14	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97816673	98398923	582250	+	transcript	MSTRG.21235	 MSTRG.21235.16	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97816673	98398923	582250	+	transcript	MSTRG.21235	 MSTRG.21235.17	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97816679	98398923	582244	+	transcript	MSTRG.21235	 MSTRG.21235.18	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97305579	98398923	1093344	+	transcript	MSTRG.21235	 MSTRG.21235.1	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97305597	98398923	1093326	+	transcript	MSTRG.21235	 MSTRG.21235.3	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97305605	98398923	1093318	+	transcript	MSTRG.21235	 MSTRG.21235.4	 	
GBM	chr6	98272012	98272319	uc.198	chr6	97440832	98398923	958091	+	transcript	MSTRG.21235	 MSTRG.21235.6	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97626900	98398923	772023	+	transcript	MSTRG.21235	 MSTRG.21235.8	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97787486	98398923	611437	+	transcript	MSTRG.21235	 MSTRG.21235.10	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97816507	98398923	582416	+	transcript	MSTRG.21235	 MSTRG.21235.11	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97816535	98398923	582388	+	transcript	MSTRG.21235	 MSTRG.21235.12	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97816576	98398923	582347	+	transcript	MSTRG.21235	 MSTRG.21235.13	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97816576	98398923	582347	+	transcript	MSTRG.21235	 MSTRG.21235.14	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97816673	98398923	582250	+	transcript	MSTRG.21235	 MSTRG.21235.16	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97816673	98398923	582250	+	transcript	MSTRG.21235	 MSTRG.21235.17	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97816679	98398923	582244	+	transcript	MSTRG.21235	 MSTRG.21235.18	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97305579	98398923	1093344	+	transcript	MSTRG.21235	 MSTRG.21235.1	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97305597	98398923	1093326	+	transcript	MSTRG.21235	 MSTRG.21235.3	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97305605	98398923	1093318	+	transcript	MSTRG.21235	 MSTRG.21235.4	 	
GBM	chr6	98365978	98366234	uc.199	chr6	97440832	98398923	958091	+	transcript	MSTRG.21235	 MSTRG.21235.6	 	
GBM	chr7	26657458	26657715	uc.210	chr7	26617248	26665201	47953	-	transcript	MSTRG.22012	 MSTRG.22012.3	 	
GBM	chr7	26657458	26657715	uc.210	chr7	26584972	26665201	80229	-	transcript	MSTRG.22012	 MSTRG.22012.1	 	
GBM	chr7	157019690	157019962	uc.234	chr7	156968962	157061396	92434	-	transcript	MSTRG.23216	 MSTRG.23216.1	 	
GBM	chr7	157019690	157019962	uc.234	chr7	157010812	157049754	38942	+	transcript	MSTRG.23219	 MSTRG.23219.1	 	
GBM	chr8	37392950	37393217	uc.236	chr8	37376450	37394905	18455	+	transcript	MSTRG.23516	 MSTRG.23516.1	 	
GBM	chr8	64584572	64584774	uc.241	chr8	64579295	64585004	5709	.	transcript	MSTRG.23670	 MSTRG.23670.1	 	
GBM	chr8	64584572	64584774	uc.241	chr8	64579295	64585004	5709	.	exon	MSTRG.23670	 MSTRG.23670.1	" exon_number ""1"""	 
