Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
PLEKHA3	ENST00000234453.5	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3 	767	2	0	0	2	3	0	0	3	3	hsa-miR-375	0.0133	0.0943	0.5390	-0.25	-0.36	0.72	NULL
LRP5	ENST00000294304.7	low density lipoprotein receptor-related protein 5 	397	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0069	0.0487	0.2739	-0.23	-0.23	0.35	2005, 2007, 2009, 2011
UBE2E2	ENST00000396703.1	ubiquitin-conjugating enzyme E2E 2 	794	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0067	0.0485	0.3011	-0.23	-0.24	0.36	2005, 2007, 2011
DESI1	ENST00000263256.6	desumoylating isopeptidase 1 	1513	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0082	0.0584	0.3372	-0.23	-0.23	0.36	2011
IFT20	ENST00000357896.3	intraflagellar transport 20 homolog (Chlamydomonas) 	912	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0043	0.0314	0.2055	-0.23	-0.23	< 0.1	2007, 2009, 2011
TMEM55A	ENST00000285419.3	transmembrane protein 55A 	151	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0115	0.0804	0.4375	-0.23	-0.25	0.36	NULL
PAX2	ENST00000370296.2	paired box 2 	8	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0120	0.0858	0.5209	-0.22	-0.22	0.39	2005, 2007
PIPOX	ENST00000323372.4	pipecolic acid oxidase 	30	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0083	0.0600	0.3833	-0.22	-0.24	0.34	2011
MOB1A	ENST00000396049.4	MOB kinase activator 1A 	963	1	0	0	1	1	0	1	0	1	hsa-miR-375	0.0103	0.0745	0.4750	-0.22	-0.24	0.34	2005, 2007
C19orf44	ENST00000594035.1	chromosome 19 open reading frame 44 	25	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0067	0.0481	0.2882	-0.22	-0.22	0.36	NULL
KCNE3	ENST00000310128.4	potassium voltage-gated channel, Isk-related family, member 3 	16	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0110	0.0770	0.4065	-0.21	-0.21	0.36	2011
SHOX2	ENST00000490689.2	short stature homeobox 2 	66	1	1	0	0	1	0	0	1	0	hsa-miR-375	0.0091	0.0655	0.4159	-0.21	-0.33	< 0.1	2007, 2009, 2011
USPL1	ENST00000255304.4	ubiquitin specific peptidase like 1 	7	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0072	0.0510	0.2977	-0.21	-0.21	0.35	2011
ATXN7	ENST00000295900.6	ataxin 7 	264	3	0	0	3	0	0	0	0	0	hsa-miR-375	0.0184	0.1296	0.7142	-0.21	-0.28	0.73	2011
ATP1B1	ENST00000367816.1	ATPase, Na+/K+ transporting, beta 1 polypeptide 	656	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0067	0.0482	0.3006	-0.21	-0.21	0.36	2011
CEPT1	ENST00000545121.1	choline/ethanolamine phosphotransferase 1 	148	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0118	0.0818	0.4224	-0.21	-0.21	0.35	2011
C8orf86	ENST00000358138.1	chromosome 8 open reading frame 86 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0080	0.0578	0.3559	-0.20	-0.20	0.36	2005, 2007, 2009, 2011
CCDC39	ENST00000273654.4	coiled-coil domain containing 39 	5	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0050	0.0369	0.2593	-0.20	-0.20	< 0.1	NULL
POU4F1	ENST00000377208.5	POU class 4 homeobox 1 	61	1	0	0	1	2	0	0	2	1	hsa-miR-375	0.0144	0.1033	0.6390	-0.20	-0.28	0.47	NULL
PAX6	ENST00000419022.1	paired box 6 	191	1	0	0	1	0	0	0	0	3	hsa-miR-375	0.0093	0.0674	0.4305	-0.20	-0.20	0.36	2007, 2009, 2011
SLC11A2	ENST00000262051.7	solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2 	526	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0050	0.0364	0.2424	-0.20	-0.20	0.36	2011
PDE4D	ENST00000340635.6	phosphodiesterase 4D, cAMP-specific 	747	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0180	0.1285	0.7671	-0.19	-0.20	0.58	2005, 2007, 2009, 2011
RBM24	ENST00000379052.5	RNA binding motif protein 24 	43	1	0	1	0	0	0	0	0	2	hsa-miR-375	0.0073	0.0527	0.3328	-0.19	-0.21	< 0.1	2005, 2007, 2009, 2011
HSPH1	ENST00000320027.5	heat shock 105kDa/110kDa protein 1 	4109	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0083	0.0600	0.3817	-0.19	-0.20	0.36	NULL
CHSY1	ENST00000254190.3	chondroitin sulfate synthase 1 	200	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0114	0.0811	0.4878	-0.19	-0.21	0.36	2009, 2011
ACN9	ENST00000360382.4	ACN9 homolog (S. cerevisiae) 	2260	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0086	0.0602	0.3313	-0.19	-0.19	< 0.1	NULL
MAL2	ENST00000276681.6	mal, T-cell differentiation protein 2 (gene/pseudogene) 	2056	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0095	0.0675	0.3976	-0.19	-0.21	0.36	2009, 2011
TSC22D2	ENST00000361875.3	TSC22 domain family, member 2 	1062	1	0	0	1	1	0	0	1	2	hsa-miR-375	0.0088	0.0641	0.4324	-0.19	-0.21	0.38	2005, 2007, 2011
IGFBP4	ENST00000269593.4	insulin-like growth factor binding protein 4 	4053	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0039	0.0279	0.1733	-0.19	-0.31	0.49	NULL
ELAVL2	ENST00000380110.4	ELAV like neuron-specific RNA binding protein 2 	78	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0129	0.0920	0.5504	-0.19	-0.20	0.58	2007, 2009, 2011
ZBTB20	ENST00000462705.1	zinc finger and BTB domain containing 20 	5	2	0	0	2	4	0	0	4	3	hsa-miR-375	0.0099	0.0708	0.4290	-0.18	-0.23	0.72	2009
RASSF4	ENST00000374417.2	Ras association (RalGDS/AF-6) domain family member 4 	515	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0072	0.0522	0.3295	-0.18	-0.28	0.34	NULL
PRKD1	ENST00000331968.5	protein kinase D1 	75	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0063	0.0458	0.2966	-0.18	-0.20	0.36	2005, 2007, 2009, 2011
RBPJ	ENST00000504907.1	recombination signal binding protein for immunoglobulin kappa J region 	70	1	0	0	1	2	0	0	2	1	hsa-miR-375	0.0192	0.1375	0.8465	-0.18	-0.25	0.52	NULL
EIF4H	ENST00000265753.8	eukaryotic translation initiation factor 4H 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0074	0.0527	0.2994	-0.18	-0.18	0.35	NULL
LYSMD3	ENST00000509384.1	LysM, putative peptidoglycan-binding, domain containing 3 	92	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0109	0.0777	0.4625	-0.18	-0.18	< 0.1	NULL
TMEM26	ENST00000399298.3	transmembrane protein 26 	10	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0118	0.0850	0.5324	-0.18	-0.18	0.35	2011
JAK2	ENST00000381652.3	Janus kinase 2 	17	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0101	0.0727	0.4438	-0.18	-0.18	0.58	2011
TIMM8A	ENST00000372902.3	translocase of inner mitochondrial membrane 8 homolog A (yeast) 	147	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0072	0.0514	0.2989	-0.18	-0.18	0.36	2005, 2007
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	1	0	0	1	4	0	0	4	5	hsa-miR-375	0.0371	0.2699	1.7953	-0.18	-0.18	0.51	NULL
FAM175B	ENST00000298492.5	family with sequence similarity 175, member B 	525	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0076	0.0544	0.3306	-0.18	-0.18	0.36	NULL
CAST	ENST00000395812.2	calpastatin 	4674	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0042	0.0308	0.2076	-0.17	-0.21	0.36	2011
C15orf41	ENST00000567389.1	chromosome 15 open reading frame 41 	48	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0053	0.0384	0.2368	-0.17	-0.33	0.34	2009, 2011
AC140061.12	ENST00000598429.1	Uncharacterized protein  	11	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0078	0.0558	0.3238	-0.17	-0.17	0.34	NULL
RASSF8	ENST00000541490.1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8 	1290	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0112	0.0808	0.5050	-0.17	-0.17	0.38	2011
AL117190.3	ENST00000599197.1	Esophagus cancer-related gene-2 interaction susceptibility protein; Uncharacterized protein  	30	1	0	0	1	1	0	1	0	0	hsa-miR-375	0.0057	0.0414	0.2682	-0.17	-0.20	0.36	NULL
HOXA3	ENST00000396352.4	homeobox A3 	57	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0093	0.0652	0.3631	-0.17	-0.17	0.36	2005, 2007, 2009, 2011
HLCS	ENST00000336648.4	holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase) 	688	1	0	0	1	2	0	0	2	0	hsa-miR-375	0.0108	0.0785	0.5035	-0.16	-0.17	0.49	2005, 2007, 2009, 2011
CNIH4	ENST00000465271.1	cornichon family AMPA receptor auxiliary protein 4 	1348	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0021	0.0154	0.1055	-0.16	-0.16	0.36	2007
OTP	ENST00000306422.3	orthopedia homeobox 	9	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0117	0.0805	0.3928	-0.16	-0.16	0.36	2005, 2007, 2009, 2011
UBE3A	ENST00000232165.3	ubiquitin protein ligase E3A 	529	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0147	0.1040	0.6077	-0.16	-0.16	0.36	2011
MATR3	ENST00000510056.1	matrin 3 	216	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0075	0.0544	0.3491	-0.16	-0.18	0.36	2011
KLF4	ENST00000374672.4	Kruppel-like factor 4 (gut) 	22	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0064	0.0452	0.2593	-0.16	-0.16	0.36	2005, 2007, 2009, 2011
AKIRIN1	ENST00000432648.3	akirin 1 	798	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0132	0.0935	0.5426	-0.16	-0.16	0.35	NULL
KLF5	ENST00000377687.4	Kruppel-like factor 5 (intestinal) 	161	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0107	0.0756	0.4255	-0.16	-0.16	0.35	2007, 2011
GRIK2	ENST00000413795.1	glutamate receptor, ionotropic, kainate 2 	28	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0144	0.1020	0.5959	-0.16	-0.16	0.35	2009, 2011
C7orf55-LUC7L2	ENST00000354926.4	C7orf55-LUC7L2 readthrough 	419	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0052	0.0373	0.2325	-0.16	-0.17	0.36	NULL
WWC2	ENST00000403733.3	WW and C2 domain containing 2 	717	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0161	0.1144	0.6726	-0.16	-0.16	0.46	2009, 2011
HERPUD1	ENST00000379792.2	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 	804	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0022	0.0157	0.1053	-0.16	-0.16	0.36	NULL
YAP1	ENST00000282441.5	Yes-associated protein 1 	1175	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0076	0.0540	0.3184	-0.16	-0.21	0.54	2005, 2007, 2011
PDGFA	ENST00000354513.5	platelet-derived growth factor alpha polypeptide 	25	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0039	0.0288	0.1976	-0.16	-0.16	0.36	2009, 2011
LUC7L2	ENST00000541515.3	LUC7-like 2 (S. cerevisiae) 	419	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0051	0.0369	0.2298	-0.15	-0.16	0.36	NULL
LSM12	ENST00000585388.1	LSM12 homolog (S. cerevisiae) 	20	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0057	0.0405	0.2488	-0.15	-0.21	0.34	2007, 2009, 2011
RMDN3	ENST00000260385.6	regulator of microtubule dynamics 3 	86	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0052	0.0374	0.2231	-0.15	-0.15	0.35	2009, 2011
QKI	ENST00000392127.2	QKI, KH domain containing, RNA binding 	323	4	0	0	4	5	0	0	5	2	hsa-miR-375	0.0266	0.1923	1.2309	-0.15	-0.28	0.90	2011
XPR1	ENST00000367590.4	xenotropic and polytropic retrovirus receptor 1 	544	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0143	0.1025	0.6192	-0.15	-0.16	0.37	2005, 2007
PIAS1	ENST00000249636.6	protein inhibitor of activated STAT, 1 	368	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0038	0.0272	0.1698	-0.15	-0.17	0.36	2005, 2007, 2011
PITPNA	ENST00000313486.7	phosphatidylinositol transfer protein, alpha 	366	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0061	0.0439	0.2832	-0.15	-0.15	0.35	2005, 2007, 2011
INSIG2	ENST00000245787.4	insulin induced gene 2 	562	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0094	0.0672	0.4076	-0.15	-0.17	0.36	2005, 2007, 2009, 2011
UST	ENST00000367463.4	uronyl-2-sulfotransferase 	933	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0074	0.0537	0.3437	-0.15	-0.15	0.36	2009, 2011
AP1AR	ENST00000274000.5	adaptor-related protein complex 1 associated regulatory protein 	89	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0038	0.0277	0.1820	-0.15	-0.15	0.35	NULL
RS1	ENST00000379984.3	retinoschisin 1 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0044	0.0319	0.1958	-0.14	-0.14	0.36	2011
PACSIN1	ENST00000244458.2	protein kinase C and casein kinase substrate in neurons 1 	25	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0073	0.0529	0.3376	-0.14	-0.14	0.35	2005, 2007, 2009, 2011
ZFPM2	ENST00000407775.2	zinc finger protein, FOG family member 2 	595	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0102	0.0724	0.4120	-0.14	-0.14	0.35	2005, 2007
EIF1	ENST00000469257.1	eukaryotic translation initiation factor 1 	415	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0027	0.0199	0.1355	-0.14	-0.15	0.36	2007, 2011
KLHL3	ENST00000541417.1	kelch-like family member 3 	40	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0081	0.0591	0.4025	-0.14	-0.14	< 0.1	NULL
SLC2A8	ENST00000373360.3	solute carrier family 2 (facilitated glucose transporter), member 8 	324	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0023	0.0168	0.1126	-0.14	-0.14	< 0.1	NULL
HAS2	ENST00000303924.4	hyaluronan synthase 2 	398	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0075	0.0543	0.3535	-0.14	-0.14	0.36	2005, 2007
ASCL1	ENST00000266744.3	achaete-scute complex homolog 1 (Drosophila) 	5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0051	0.0366	0.2190	-0.14	-0.14	0.36	2007, 2009, 2011
SGMS1	ENST00000361781.2	sphingomyelin synthase 1 	100	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0036	0.0263	0.1715	-0.14	-0.14	0.34	2007
CCDC176	ENST00000394009.3	coiled-coil domain containing 176 	61	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0082	0.0581	0.3353	-0.14	-0.14	0.34	2011
TCF12	ENST00000267811.5	transcription factor 12 	101	2	0	0	2	0	0	0	0	0	hsa-miR-375	0.0101	0.0729	0.4638	-0.14	-0.16	0.58	2005, 2007, 2011
SENP2	ENST00000296257.5	SUMO1/sentrin/SMT3 specific peptidase 2 	1693	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0049	0.0351	0.2226	-0.13	-0.13	0.36	NULL
USP1	ENST00000339950.4	ubiquitin specific peptidase 1 	436	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0058	0.0424	0.2931	-0.13	-0.13	0.36	2005, 2007
CCDC117	ENST00000249064.4	coiled-coil domain containing 117 	211	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0107	0.0737	0.3668	-0.13	-0.16	0.35	2007, 2009, 2011
GPR39	ENST00000329321.3	G protein-coupled receptor 39 	151	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0068	0.0496	0.3244	-0.13	-0.13	0.34	NULL
SYP	ENST00000263233.4	synaptophysin 	15	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0084	0.0602	0.3666	-0.13	-0.13	0.34	2009, 2011
TCF4	ENST00000354452.3	transcription factor 4 	394	1	0	0	1	1	0	0	1	2	hsa-miR-375	0.0226	0.1622	0.9969	-0.13	-0.14	0.42	NULL
PDGFC	ENST00000502773.1	platelet derived growth factor C 	238	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0048	0.0344	0.2064	-0.13	-0.14	0.35	2005, 2007
YWHAZ	ENST00000395957.2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide 	184	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0128	0.0918	0.5637	-0.13	-0.13	0.36	2009, 2011
C17orf85	ENST00000158149.3	chromosome 17 open reading frame 85 	718	1	0	0	1	1	0	1	0	0	hsa-miR-375	0.0051	0.0365	0.2218	-0.13	-0.15	0.35	NULL
SPRY3	ENST00000302805.2	sprouty homolog 3 (Drosophila) 	5	1	0	0	1	2	0	0	2	0	hsa-miR-375	0.0230	0.1626	0.9230	-0.13	-0.13	0.37	2011
GATAD2A	ENST00000360315.3	GATA zinc finger domain containing 2A 	986	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0126	0.0873	0.4383	-0.13	-0.13	0.36	2011
SPAG9	ENST00000262013.7	sperm associated antigen 9 	509	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0138	0.0980	0.5735	-0.13	-0.13	0.35	2005, 2007, 2011
AC006372.1	ENST00000444154.1		5	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0038	0.0274	0.1859	-0.13	-0.13	0.35	NULL
GMFB	ENST00000554908.1	glia maturation factor, beta 	15	1	0	0	1	0	0	0	0	2	hsa-miR-375	0.0098	0.0713	0.4651	-0.13	-0.18	0.34	2005, 2007
IKZF4	ENST00000262032.5	IKAROS family zinc finger 4 (Eos) 	329	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0067	0.0476	0.2750	-0.13	-0.13	0.36	2009, 2011
RGS16	ENST00000367558.5	regulator of G-protein signaling 16 	7	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0062	0.0446	0.2707	-0.13	-0.16	0.34	2009, 2011
ANKHD1	ENST00000360839.2	ankyrin repeat and KH domain containing 1 	247	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0103	0.0737	0.4511	-0.12	-0.12	0.36	2011
INSM1	ENST00000310227.1	insulinoma-associated 1 	20	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0042	0.0302	0.1870	-0.12	-0.12	0.34	2005, 2007
HIVEP2	ENST00000367604.1	human immunodeficiency virus type I enhancer binding protein 2 	137	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0054	0.0395	0.2558	-0.12	-0.12	0.35	2009, 2011
EBF3	ENST00000368648.3	early B-cell factor 3 	101	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0097	0.0704	0.4521	-0.12	-0.12	0.35	2007, 2009, 2011
GATA6	ENST00000269216.3	GATA binding protein 6 	691	1	0	0	1	0	0	0	0	6	hsa-miR-375	0.0047	0.0341	0.2103	-0.12	-0.12	0.36	2005, 2007, 2009, 2011
DIAPH2	ENST00000324765.8	diaphanous-related formin 2 	91	1	0	0	1	1	0	0	1	2	hsa-miR-375	0.0261	0.1859	1.1059	-0.12	-0.13	0.56	2005, 2007
CSNK2A1	ENST00000349736.5	casein kinase 2, alpha 1 polypeptide 	1927	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0064	0.0458	0.2814	-0.12	-0.12	0.35	2005, 2007
KCNAB3	ENST00000303790.2	potassium voltage-gated channel, shaker-related subfamily, beta member 3 	35	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0065	0.0465	0.2868	-0.12	-0.12	0.35	2005, 2007
SOCS5	ENST00000306503.5	suppressor of cytokine signaling 5 	72	1	0	0	1	1	0	0	1	4	hsa-miR-375	0.0109	0.0769	0.4216	-0.12	-0.14	0.36	2005, 2007
UBA2	ENST00000246548.4	ubiquitin-like modifier activating enzyme 2 	122	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0073	0.0524	0.3148	-0.12	-0.12	0.36	NULL
VAT1L	ENST00000302536.2	vesicle amine transport 1-like 	123	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0075	0.0540	0.3439	-0.12	-0.12	0.36	2009, 2011
KCNJ3	ENST00000295101.2	potassium inwardly-rectifying channel, subfamily J, member 3 	21	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0124	0.0892	0.5521	-0.12	-0.12	0.35	2005, 2007
SKI	ENST00000378536.4	v-ski avian sarcoma viral oncogene homolog 	613	1	0	0	1	0	0	0	0	1	hsa-miR-375	0.0044	0.0318	0.2086	-0.12	-0.12	0.35	2009, 2011
SP1	ENST00000426431.2	Sp1 transcription factor 	402	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0070	0.0505	0.3155	-0.12	-0.12	0.35	2005, 2007, 2009, 2011
ACSL3	ENST00000357430.3	acyl-CoA synthetase long-chain family member 3 	2533	1	0	0	1	1	0	0	1	1	hsa-miR-375	0.0049	0.0358	0.2385	-0.12	-0.19	0.42	2005, 2007, 2009, 2011
EPB41L2	ENST00000531410.1	erythrocyte membrane protein band 4.1-like 2 	353	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0031	0.0223	0.1441	-0.12	-0.12	0.35	2005, 2007
SERBP1	ENST00000370994.4	SERPINE1 mRNA binding protein 1 	926	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0078	0.0560	0.3365	-0.12	-0.12	0.36	2007, 2009, 2011
RBM47	ENST00000319592.4	RNA binding motif protein 47 	264	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0078	0.0552	0.3259	-0.12	-0.14	0.36	2009, 2011
FLG2	ENST00000388718.5	filaggrin family member 2 	5	1	0	0	1	1	0	0	1	0	hsa-miR-375	0.0137	0.0995	0.6592	-0.12	-0.12	0.51	2009, 2011
HS3ST3B1	ENST00000360954.2	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1 	1489	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0085	0.0612	0.3863	-0.11	-0.12	0.36	NULL
MEIS1	ENST00000488550.1	Meis homeobox 1 	533	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0053	0.0380	0.2363	-0.11	-0.11	0.35	2009, 2011
ZFYVE26	ENST00000347230.4	zinc finger, FYVE domain containing 26 	104	1	0	0	1	0	0	0	0	0	hsa-miR-375	0.0057	0.0411	0.2477	-0.11	-0.14	0.36	2009, 2011
ELK4	ENST00000357992.4	ELK4, ETS-domain protein (SRF accessory protein 1) 	39	1	0	0	1	2	1	0	1	0	hsa-miR-375	0.0135	0.0966	0.5811	-0.11	-0.15	0.49	2011
